customer_id,invoice_id,list_of_goods
1461,6464656,"['pokemon shield', 'white wine', 'google tablet', 'canned_tuna', 'green beans', 'bacon', 'cider', 'pokemon sword', 'beats headphones', 'airpods', 'phone charger', 'metroid prime']"
5640,2431362,"['pokemon shield', 'white wine', 'grated cheese', 'cider', 'metroid fusion', 'portal', 'pokemon sword', 'ratchet & clank', 'rice', 'ketchup', 'laptop', 'toothpaste']"
9142,5452829,"['pokemon shield', 'flax seed', 'laptop', 'half-life: alyx', 'beats headphones', 'airpods', 'pokemon scarlet', 'metroid prime']"
3324,10986845,"['pokemon shield', 'white wine', 'cider', 'mineral water', 'pokemon sword', 'frozen vegetables', 'pokemon violet', 'ratchet & clank', 'megaman zero 4', 'pepper', 'pokemon scarlet', 'energy drink', 'strawberries']"
6196,10455566,"['flax seed', 'butter', 'bluetooth headphones', 'pokemon sword', 'candy bars', 'pokemon scarlet']"
6684,1999071,"['megaman zero', 'extra dark chocolate', 'metroid fusion', 'carrots', 'pokemon sword', 'pokemon violet', 'hot dogs', 'hand protein bar', 'burger sauce', 'pepper', 'red wine']"
1558,6012229,"['pokemon shield', 'almonds', 'cider', 'metroid fusion', 'bluetooth headphones', 'cotton buds', 'pokemon violet', 'shallot', 'carrots']"
2006,4388182,"['pokemon shield', 'ratchet & clank 2', 'cake', 'pokemon sword', 'ratchet & clank', 'iPad', 'airpods', 'pokemon scarlet', 'ketchup', 'metroid prime']"
5480,10528136,"['tomato juice', 'ratchet & clank 2', 'google tablet', 'grated cheese', 'fresh bread', 'cooking oil', 'pokemon sword', 'ratchet & clank', 'megaman zero 4', 'pasta', 'salmon', 'melons']"
2680,7647344,"['google tablet', 'ratchet & clank 2', 'fromage blanc', 'megaman zero', 'burgers', 'chili', 'oil', 'green tea']"
9208,4408589,"['pokemon shield', 'white wine', 'tomatoes', 'cider', 'bluetooth headphones', 'pokemon sword', 'ratchet & clank', 'yams', 'airpods', 'cookies', 'eggplant']"
3481,462903,"['pokemon shield', 'tomato juice', 'spaghetti', 'cologne', 'vacuum cleaner', 'megaman zero 2', 'pokemon sword', 'pokemon violet', 'candy bars', 'samsung galaxy 10', 'pokemon scarlet', 'green tea']"
3627,6300576,"['beer', 'white wine', 'pokemon shield', 'toilet paper', 'half-life: alyx', 'cider', 'iMac', 'pokemon violet', 'ratchet & clank 3', 'pokemon scarlet']"
4247,8583712,"['phone charger', 'google tablet', 'mineral water', 'minecraft', 'pokemon sword', 'pokemon violet', 'ratchet & clank', 'beats headphones', 'dessert wine', 'pokemon scarlet', 'oatmeal', 'final fantasy XX', 'metroid prime']"
9861,7060149,"['pokemon shield', 'white wine', 'green tea', 'avocado', 'half-life: alyx', 'french fries', 'minecraft', 'pokemon sword', 'ratchet & clank', 'megaman zero 4', 'airpods', 'samsung galaxy 10']"
9491,5803947,"['pokemon shield', 'tomato juice', 'google tablet', 'black tea', 'sandwich', 'milk', 'iPad', 'carrots']"
4175,45697,"['pokemon shield', 'cider', 'vacuum cleaner', 'megaman zero 2', 'pokemon sword', 'pokemon violet', 'salad', 'ratchet & clank 3', 'airpods', 'pokemon scarlet']"
3988,2562250,"['seabass', 'beer', 'ratchet & clank 2', 'half-life: alyx', 'body spray', 'sandwich', 'iMac', 'ratchet & clank', 'turkey', 'rice', 'iPad', 'samsung galaxy 10', 'phone car charger', 'phone charger', 'black beer', 'babies food']"
464,3879822,"['pokemon shield', 'white wine', 'google tablet', 'ratchet & clank 2', 'half-life: alyx', 'metroid fusion', 'megaman zero 2', 'carrots', 'minecraft', 'beats headphones', 'pokemon scarlet', 'energy bar', 'babies food', 'eggplant']"
7948,11617684,"['google tablet', 'ratchet & clank 2', 'cider', 'ham', 'pokemon sword', 'ratchet & clank', 'light mayo', 'airpods', 'mayonnaise']"
3633,5488586,"['pokemon shield', 'almonds', 'tomato sauce', 'french fries', 'pokemon sword', 'pokemon violet', 'iPad', 'soda', 'chocolate', 'muffins']"
5542,9354453,"['pokemon shield', 'eggs', 'shower gel', 'laptop', 'vacuum cleaner', 'cologne', 'pokemon sword', 'pokemon violet', 'ratchet & clank', 'ratchet & clank 3', 'antioxydant juice', 'metroid prime']"
4814,776756,"['pokemon shield', 'toilet paper', 'cider', 'cooking oil', 'minecraft', 'ratchet & clank 3', 'oil', 'cereals', 'laptop']"
8716,8344408,"['pokemon shield', 'white wine', 'megaman zero 3', 'minecraft', 'pokemon sword', 'tooth brush', 'pokemon scarlet', 'samsung galaxy 10']"
2206,3971764,"['white wine', 'tomato juice', 'trout', 'burgers', 'cider', 'cooking oil', 'pokemon sword', 'pokemon violet', 'pokemon scarlet']"
1974,7723711,"['tomato sauce', 'vacuum cleaner', 'pokemon sword', 'pokemon violet', 'ratchet & clank 3', 'half-life 2', 'pokemon scarlet', 'escalope']"
10050,2119275,"['pokemon shield', 'ratchet & clank 2', 'final fantasy XIX', 'metroid fusion', 'pokemon sword', 'pokemon violet', 'asparagus', 'iPad', 'megaman zero 4', 'phone car charger', 'final fantasy XX', 'laptop']"
7713,7816011,"['pokemon shield', 'white wine', 'cider', 'ground beef', 'french fries', 'body spray', 'megaman zero 4', 'pokemon scarlet']"
1018,4302363,"['ratchet & clank 2', 'google tablet', 'cider', 'megaman zero 3', 'megaman zero 2', 'pokemon sword', 'pokemon violet', 'airpods', 'salt', 'pokemon scarlet', 'herb & pepper', 'metroid prime']"
4728,6297339,"['grated cheese', 'green beans', 'final fantasy XIX', 'sandwich', 'corn', 'yogurt cake', 'pokemon scarlet', 'strong cheese']"
8191,2772979,"['soup', 'white wine', 'google tablet', 'burgers', 'cologne', 'body spray', 'corn', 'cooking oil', 'pokemon sword', 'minecraft', 'ground beef', 'iPad', 'pasta', 'pokemon scarlet', 'metroid prime']"
5617,3634623,"['beer', 'pokemon shield', 'tomato juice', 'tomatoes', 'cider', 'pokemon sword', 'pokemon violet', 'ratchet & clank', 'burger sauce', 'fresh tuna', 'muffins']"
4678,11657659,"['bramble', 'pokemon shield', 'google tablet', 'deodorant', 'pickles', 'metroid fusion', 'pokemon sword', 'pokemon violet', 'hand protein bar', 'turkey', 'airpods', 'cereals', 'laptop']"
10182,955848,"['megaman zero', 'butter', 'extra dark chocolate', 'megaman zero 3', 'megaman zero 2', 'pokemon sword', 'pokemon violet', 'beats headphones', 'samsung galaxy 10', 'airpods', 'fresh tuna', 'portal 2', 'chicken', 'babies food', 'strawberries']"
1932,1618049,"['avocado', 'metroid fusion', 'bluetooth headphones', 'phone car charger', 'pokemon violet', 'ratchet & clank', 'iMac', 'candy bars', 'pokemon scarlet', 'final fantasy XXII']"
4899,2715995,"['pokemon shield', 'white wine', 'fromage blanc', 'eggs', 'napkins', 'half-life: alyx', 'pokemon sword', 'pokemon violet', 'beats headphones', 'pepper']"
245,6312663,"['ketchup', 'beats headphones', 'pokemon sword']"
8258,10233629,"['pokemon shield', 'white wine', 'google tablet', 'pokemon sword', 'pokemon violet', 'ratchet & clank', 'ratchet & clank 3', 'phone car charger', 'metroid prime']"
5908,4163117,"['pokemon shield', 'white wine', 'ratchet & clank 2', 'final fantasy XIX', 'vacuum cleaner', 'pokemon sword', 'ratchet & clank', 'burger sauce', 'samsung galaxy 10', 'metroid prime']"
816,7763870,"['pokemon shield', 'white wine', 'almonds', 'tomatoes', 'metroid fusion', 'pokemon sword', 'ratchet & clank', 'ratchet & clank 3', 'airpods', 'megaman zero 4', 'cauliflower', 'cereals', 'metroid prime']"
5770,4976095,"['pokemon shield', 'blueberries', 'megaman zero 3', 'corn', 'pokemon sword', 'pokemon violet', 'asparagus', 'gums', 'chili', 'pokemon scarlet']"
4960,9138492,"['pokemon shield', 'fresh bread', 'avocado', 'pickles', 'chocolate bread', 'pokemon sword', 'iMac', 'pokemon violet', 'ratchet & clank', 'final fantasy XX', 'babies food']"
9855,4934734,"['pokemon shield', 'white wine', 'cooking oil', 'pokemon sword', 'iMac', 'metroid prime', 'ratchet & clank 3', 'light mayo', 'soda', 'pokemon scarlet', 'herb & pepper', 'laptop']"
10233,574900,"['pokemon shield', 'corn', 'cooking oil', 'pokemon sword', 'iMac', 'megaman zero 4', 'salt', 'pokemon scarlet', 'laptop']"
7493,5836779,"['pokemon shield', 'portal', 'bluetooth headphones', 'pokemon sword', 'iphone 8', 'ratchet & clank', 'pokemon violet', 'hand protein bar', 'airpods', 'half-life 2', 'pokemon scarlet', 'portal 2']"
9760,7804697,"['pokemon shield', 'megaman zero', 'avocado', 'half-life: alyx', 'cider', 'bluetooth headphones', 'yams', 'ratchet & clank', 'shallot', 'asparagus', 'phone car charger', 'final fantasy XXII']"
10351,8831369,"['pokemon shield', 'burgers', 'final fantasy XIX', 'megaman zero 2', 'pokemon sword', 'iMac', 'energy bar', 'final fantasy XXII', 'samsung galaxy 10']"
6645,12206749,"['pet food', 'pokemon shield', 'megaman zero', 'bluetooth headphones', 'pokemon sword', 'cotton buds', 'salad', 'strong cheese']"
10196,6602051,"['pokemon shield', 'white wine', 'tomato juice', 'canned_tuna', 'metroid fusion', 'corn', 'bluetooth headphones', 'pokemon sword', 'ground beef', 'ratchet & clank', 'pokemon scarlet']"
7727,9217214,"['soup', 'ratchet & clank 2', 'green beans', 'frozen smoothie', 'megaman zero 3', 'megaman zero 2', 'pokemon sword', 'hand protein bar', 'ratchet & clank', 'meatballs', 'airpods', 'pokemon scarlet']"
367,1991407,"['fresh bread', 'ratchet & clank 2', 'cooking oil', 'pokemon sword', 'iphone 8']"
4113,3369342,"['cake', 'napkins', 'vacuum cleaner', 'french fries', 'red wine', 'mashed potato', 'asparagus', 'yams', 'gums', 'shampoo', 'oil', 'pokemon scarlet', 'cream', 'babies food', 'strawberries']"
3744,3630716,"['pokemon shield', 'white wine', 'frozen smoothie', 'metroid fusion', 'vacuum cleaner', 'pokemon sword', 'ratchet & clank', 'meatballs', 'iPad', 'pokemon scarlet']"
7182,9802449,"['bramble', 'ratchet & clank 2', 'avocado', 'pokemon sword', 'pokemon violet', 'yams']"
